id,canonical_slug,hugging_face_id,name,created,description,context_length,architecture,per_request_limits,supported_parameters,default_parameters,knowledge_cutoff,expiration_date,prompt_pricing,completion_pricing,max_completion_tokens,is_moderated
liquid/lfm-2.5-1.2b-thinking:free,liquid/lfm-2.5-1.2b-thinking-20260120,LiquidAI/LFM2.5-1.2B-Thinking,LiquidAI: LFM2.5-1.2B-Thinking (free),1768927527,"LFM2.5-1.2B-Thinking is a lightweight reasoning-focused model optimized for agentic tasks, data extraction, and RAG—while still running comfortably on edge devices. It supports long context (up to 32K tokens) and is designed to provide higher-quality “thinking” responses in a small 1.2B model.",32768.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'max_tokens', 'min_p', 'presence_penalty', 'reasoning', 'repetition_penalty', 'seed', 'stop', 'temperature', 'top_k', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0,0,,False
liquid/lfm-2.5-1.2b-instruct:free,liquid/lfm-2.5-1.2b-instruct-20260120,LiquidAI/LFM2.5-1.2B-Instruct,LiquidAI: LFM2.5-1.2B-Instruct (free),1768927521,"LFM2.5-1.2B-Instruct is a compact, high-performance instruction-tuned model built for fast on-device AI. It delivers strong chat quality in a 1.2B parameter footprint, with efficient edge inference and broad runtime support.",32768.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'max_tokens', 'min_p', 'presence_penalty', 'repetition_penalty', 'seed', 'stop', 'temperature', 'top_k', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0,0,,False
openai/gpt-audio,openai/gpt-audio,,OpenAI: GPT Audio,1768862569,The gpt-audio model is OpenAI's first generally available audio model. The new snapshot features an upgraded decoder for more natural sounding voices and maintains better voice consistency. Audio is priced at $32 per million input tokens and $64 per million output tokens.,128000.0,"{'modality': 'text+audio->text+audio', 'input_modalities': ['text', 'audio'], 'output_modalities': ['text', 'audio'], 'tokenizer': 'GPT', 'instruct_type': None}",,"['frequency_penalty', 'logit_bias', 'logprobs', 'max_tokens', 'presence_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_logprobs', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.0000025,0.00001,16384.0,True
openai/gpt-audio-mini,openai/gpt-audio-mini,,OpenAI: GPT Audio Mini,1768859419,A cost-efficient version of GPT Audio. The new snapshot features an upgraded decoder for more natural sounding voices and maintains better voice consistency. Input is priced at $0.60 per million tokens and output is priced at $2.40 per million tokens.,128000.0,"{'modality': 'text+audio->text+audio', 'input_modalities': ['text', 'audio'], 'output_modalities': ['text', 'audio'], 'tokenizer': 'GPT', 'instruct_type': None}",,"['frequency_penalty', 'logit_bias', 'logprobs', 'max_tokens', 'presence_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_logprobs', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.0000006,0.0000024,16384.0,True
z-ai/glm-4.7-flash,z-ai/glm-4.7-flash-20260119,zai-org/GLM-4.7-Flash,Z.ai: GLM 4.7 Flash,1768833913,"As a 30B-class SOTA model, GLM-4.7-Flash offers a new option that balances performance and efficiency. It is further optimized for agentic coding use cases, strengthening coding capabilities, long-horizon task planning, and tool collaboration, and has achieved leading performance among open-source models of the same size on several current public benchmark leaderboards.",202752.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'max_tokens', 'min_p', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': 1, 'top_p': 0.95, 'frequency_penalty': None}",,,0.00000006,0.0000004,,False
openai/gpt-5.2-codex,openai/gpt-5.2-codex-20260114,,OpenAI: GPT-5.2-Codex,1768409315,"GPT-5.2-Codex is an upgraded version of GPT-5.1-Codex optimized for software engineering and coding workflows. It is designed for both interactive development sessions and long, independent execution of complex engineering tasks. The model supports building projects from scratch, feature development, debugging, large-scale refactoring, and code review. Compared to GPT-5.1-Codex, 5.2-Codex is more steerable, adheres closely to developer instructions, and produces cleaner, higher-quality code outputs. Reasoning effort can be adjusted with the `reasoning.effort` parameter. Read the [docs here](https://openrouter.ai/docs/use-cases/reasoning-tokens#reasoning-effort-level)

Codex integrates into developer environments including the CLI, IDE extensions, GitHub, and cloud tasks. It adapts reasoning effort dynamically—providing fast responses for small tasks while sustaining extended multi-hour runs for large projects. The model is trained to perform structured code reviews, catching critical flaws by reasoning over dependencies and validating behavior against tests. It also supports multimodal inputs such as images or screenshots for UI development and integrates tool use for search, dependency installation, and environment setup. Codex is intended specifically for agentic coding applications.",400000.0,"{'modality': 'text+image->text', 'input_modalities': ['text', 'image'], 'output_modalities': ['text'], 'tokenizer': 'GPT', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'reasoning', 'response_format', 'seed', 'structured_outputs', 'tool_choice', 'tools']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.00000175,0.000014,128000.0,True
allenai/olmo-3.1-32b-instruct,allenai/olmo-3.1-32b-instruct-20251215,allenai/Olmo-3.1-32B-Instruct,AllenAI: Olmo 3.1 32B Instruct,1767728554,"Olmo 3.1 32B Instruct is a large-scale, 32-billion-parameter instruction-tuned language model engineered for high-performance conversational AI, multi-turn dialogue, and practical instruction following. As part of the Olmo 3.1 family, this variant emphasizes responsiveness to complex user directions and robust chat interactions while retaining strong capabilities on reasoning and coding benchmarks. Developed by Ai2 under the Apache 2.0 license, Olmo 3.1 32B Instruct reflects the Olmo initiative’s commitment to openness and transparency.",65536.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'max_tokens', 'min_p', 'presence_penalty', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': 0.6, 'top_p': 0.95, 'frequency_penalty': None}",,,0.0000002,0.0000006,,False
bytedance-seed/seed-1.6-flash,bytedance-seed/seed-1.6-flash-20250625,,ByteDance Seed: Seed 1.6 Flash,1766505011,"Seed 1.6 Flash is an ultra-fast multimodal deep thinking model by ByteDance Seed, supporting both text and visual understanding. It features a 256k context window and can generate outputs of up to 16k tokens.",262144.0,"{'modality': 'text+image+video->text', 'input_modalities': ['image', 'text', 'video'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'max_tokens', 'reasoning', 'response_format', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.000000075,0.0000003,32768.0,False
bytedance-seed/seed-1.6,bytedance-seed/seed-1.6-20250625,,ByteDance Seed: Seed 1.6,1766504997,Seed 1.6 is a general-purpose model released by the ByteDance Seed team. It incorporates multimodal capabilities and adaptive deep thinking with a 256K context window.,262144.0,"{'modality': 'text+image+video->text', 'input_modalities': ['image', 'text', 'video'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'max_tokens', 'reasoning', 'response_format', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.00000025,0.000002,32768.0,False
minimax/minimax-m2.1,minimax/minimax-m2.1,MiniMaxAI/MiniMax-M2.1,MiniMax: MiniMax M2.1,1766454997,"MiniMax-M2.1 is a lightweight, state-of-the-art large language model optimized for coding, agentic workflows, and modern application development. With only 10 billion activated parameters, it delivers a major jump in real-world capability while maintaining exceptional latency, scalability, and cost efficiency.

Compared to its predecessor, M2.1 delivers cleaner, more concise outputs and faster perceived response times. It shows leading multilingual coding performance across major systems and application languages, achieving 49.4% on Multi-SWE-Bench and 72.5% on SWE-Bench Multilingual, and serves as a versatile agent “brain” for IDEs, coding tools, and general-purpose assistance.

To avoid degrading this model's performance, MiniMax highly recommends preserving reasoning between turns. Learn more about using reasoning_details to pass back reasoning in our [docs](https://openrouter.ai/docs/use-cases/reasoning-tokens#preserving-reasoning-blocks).",196608.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'logit_bias', 'logprobs', 'max_tokens', 'min_p', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_logprobs', 'top_p']","{'temperature': 1, 'top_p': 0.9, 'frequency_penalty': None}",,,0.00000027,0.00000095,,False
z-ai/glm-4.7,z-ai/glm-4.7-20251222,zai-org/GLM-4.7,Z.ai: GLM 4.7,1766378014,"GLM-4.7 is Z.ai’s latest flagship model, featuring upgrades in two key areas: enhanced programming capabilities and more stable multi-step reasoning/execution. It demonstrates significant improvements in executing complex agent tasks while delivering more natural conversational experiences and superior front-end aesthetics.",202752.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'logit_bias', 'logprobs', 'max_tokens', 'min_p', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_logprobs', 'top_p']","{'temperature': 1, 'top_p': 0.95, 'frequency_penalty': None}",,,0.00000039,0.00000175,65535.0,False
google/gemini-3-flash-preview,google/gemini-3-flash-preview-20251217,,Google: Gemini 3 Flash Preview,1765987078,"Gemini 3 Flash Preview is a high speed, high value thinking model designed for agentic workflows, multi turn chat, and coding assistance. It delivers near Pro level reasoning and tool use performance with substantially lower latency than larger Gemini variants, making it well suited for interactive development, long running agent loops, and collaborative coding tasks. Compared to Gemini 2.5 Flash, it provides broad quality improvements across reasoning, multimodal understanding, and reliability.

The model supports a 1M token context window and multimodal inputs including text, images, audio, video, and PDFs, with text output. It includes configurable reasoning via thinking levels (minimal, low, medium, high), structured output, tool use, and automatic context caching. Gemini 3 Flash Preview is optimized for users who want strong reasoning and agentic behavior without the cost or latency of full scale frontier models.",1048576.0,"{'modality': 'text+image+file+audio+video->text', 'input_modalities': ['text', 'image', 'file', 'audio', 'video'], 'output_modalities': ['text'], 'tokenizer': 'Gemini', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'reasoning', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.0000005,0.000003,65536.0,False
mistralai/mistral-small-creative,mistralai/mistral-small-creative-20251216,,Mistral: Mistral Small Creative,1765908653,"Mistral Small Creative is an experimental small model designed for creative writing, narrative generation, roleplay and character-driven dialogue, general-purpose instruction following, and conversational agents.",32768.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Mistral', 'instruct_type': None}",,"['tool_choice', 'tools']","{'temperature': 0.3, 'top_p': 0.95, 'frequency_penalty': None}",,2026-04-30,0.0000001,0.0000003,,False
allenai/olmo-3.1-32b-think,allenai/olmo-3.1-32b-think-20251215,allenai/Olmo-3.1-32B-Think,AllenAI: Olmo 3.1 32B Think,1765907719,"Olmo 3.1 32B Think is a large-scale, 32-billion-parameter model designed for deep reasoning, complex multi-step logic, and advanced instruction following. Building on the Olmo 3 series, version 3.1 delivers refined reasoning behavior and stronger performance across demanding evaluations and nuanced conversational tasks. Developed by Ai2 under the Apache 2.0 license, Olmo 3.1 32B Think continues the Olmo initiative’s commitment to openness, providing full transparency across model weights, code, and training methodology.",65536.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'logit_bias', 'max_tokens', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'top_k', 'top_p']","{'temperature': 0.6, 'top_p': 0.95, 'frequency_penalty': None}",,2026-04-06,0.00000015,0.0000005,65536.0,False
xiaomi/mimo-v2-flash,xiaomi/mimo-v2-flash-20251210,XiaomiMiMo/MiMo-V2-Flash,Xiaomi: MiMo-V2-Flash,1765731308,"MiMo-V2-Flash is an open-source foundation language model developed by Xiaomi. It is a Mixture-of-Experts model with 309B total parameters and 15B active parameters, adopting hybrid attention architecture. MiMo-V2-Flash supports a hybrid-thinking toggle and a 256K context window, and excels at reasoning, coding, and agent scenarios. On SWE-bench Verified and SWE-bench Multilingual, MiMo-V2-Flash ranks as the top #1 open-source model globally, delivering performance comparable to Claude Sonnet 4.5 while costing only about 3.5% as much.

Users can control the reasoning behaviour with the `reasoning` `enabled` boolean. [Learn more in our docs](https://openrouter.ai/docs/use-cases/reasoning-tokens#enable-reasoning-with-default-config).",262144.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'logit_bias', 'max_tokens', 'min_p', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': None, 'top_p': 0.95, 'frequency_penalty': None}",,,0.00000009,0.00000029,65536.0,False
nvidia/nemotron-3-nano-30b-a3b:free,nvidia/nemotron-3-nano-30b-a3b,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,NVIDIA: Nemotron 3 Nano 30B A3B (free),1765731275,"NVIDIA Nemotron 3 Nano 30B A3B is a small language MoE model with highest compute efficiency and accuracy for developers to build specialized agentic AI systems.

The model is fully open with open-weights, datasets and recipes so developers can easily
customize, optimize, and deploy the model on their infrastructure for maximum privacy and
security.",256000.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'reasoning', 'seed', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0,0,,False
nvidia/nemotron-3-nano-30b-a3b,nvidia/nemotron-3-nano-30b-a3b,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,NVIDIA: Nemotron 3 Nano 30B A3B,1765731275,"NVIDIA Nemotron 3 Nano 30B A3B is a small language MoE model with highest compute efficiency and accuracy for developers to build specialized agentic AI systems.

The model is fully open with open-weights, datasets and recipes so developers can easily
customize, optimize, and deploy the model on their infrastructure for maximum privacy and
security.",262144.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'max_tokens', 'min_p', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.00000005,0.0000002,,False
openai/gpt-5.2-chat,openai/gpt-5.2-chat-20251211,,OpenAI: GPT-5.2 Chat,1765389783,"GPT-5.2 Chat (AKA Instant) is the fast, lightweight member of the 5.2 family, optimized for low-latency chat while retaining strong general intelligence. It uses adaptive reasoning to selectively “think” on harder queries, improving accuracy on math, coding, and multi-step tasks without slowing down typical conversations. The model is warmer and more conversational by default, with better instruction following and more stable short-form reasoning. GPT-5.2 Chat is designed for high-throughput, interactive workloads where responsiveness and consistency matter more than deep deliberation.",128000.0,"{'modality': 'text+image+file->text', 'input_modalities': ['file', 'image', 'text'], 'output_modalities': ['text'], 'tokenizer': 'GPT', 'instruct_type': None}",,"['max_tokens', 'response_format', 'seed', 'structured_outputs', 'tool_choice', 'tools']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.00000175,0.000014,16384.0,True
openai/gpt-5.2-pro,openai/gpt-5.2-pro-20251211,,OpenAI: GPT-5.2 Pro,1765389780,"GPT-5.2 Pro is OpenAI’s most advanced model, offering major improvements in agentic coding and long context performance over GPT-5 Pro. It is optimized for complex tasks that require step-by-step reasoning, instruction following, and accuracy in high-stakes use cases. It supports test-time routing features and advanced prompt understanding, including user-specified intent like ""think hard about this."" Improvements include reductions in hallucination, sycophancy, and better performance in coding, writing, and health-related tasks.",400000.0,"{'modality': 'text+image+file->text', 'input_modalities': ['image', 'text', 'file'], 'output_modalities': ['text'], 'tokenizer': 'GPT', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'reasoning', 'response_format', 'seed', 'structured_outputs', 'tool_choice', 'tools']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.000021,0.000168,128000.0,True
openai/gpt-5.2,openai/gpt-5.2-20251211,,OpenAI: GPT-5.2,1765389775,"GPT-5.2 is the latest frontier-grade model in the GPT-5 series, offering stronger agentic and long context perfomance compared to GPT-5.1. It uses adaptive reasoning to allocate computation dynamically, responding quickly to simple queries while spending more depth on complex tasks.

Built for broad task coverage, GPT-5.2 delivers consistent gains across math, coding, sciende, and tool calling workloads, with more coherent long-form answers and improved tool-use reliability.",400000.0,"{'modality': 'text+image+file->text', 'input_modalities': ['file', 'image', 'text'], 'output_modalities': ['text'], 'tokenizer': 'GPT', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'reasoning', 'response_format', 'seed', 'structured_outputs', 'tool_choice', 'tools']","{'temperature': None, 'top_p': None, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0.00000175,0.000014,128000.0,True
mistralai/devstral-2512,mistralai/devstral-2512,mistralai/Devstral-2-123B-Instruct-2512,Mistral: Devstral 2 2512,1765285419,"Devstral 2 is a state-of-the-art open-source model by Mistral AI specializing in agentic coding. It is a 123B-parameter dense transformer model supporting a 256K context window.

Devstral 2 supports exploring codebases and orchestrating changes across multiple files while maintaining architecture-level context. It tracks framework dependencies, detects failures, and retries with corrections—solving challenges like bug fixing and modernizing legacy systems. The model can be fine-tuned to prioritize specific languages or optimize for large enterprise codebases. It is available under a modified MIT license.",262144.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Mistral', 'instruct_type': None}",,"['frequency_penalty', 'max_tokens', 'presence_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': 0.3, 'top_p': None, 'frequency_penalty': None}",,,0.0000004,0.000002,,False
relace/relace-search,relace/relace-search-20251208,,Relace: Relace Search,1765213560,"The relace-search model uses 4-12 `view_file` and `grep` tools in parallel to explore a codebase and return relevant files to the user request. 

In contrast to RAG, relace-search performs agentic multi-step reasoning to produce highly precise results 4x faster than any frontier model. It's designed to serve as a subagent that passes its findings to an ""oracle"" coding agent, who orchestrates/performs the rest of the coding task.

To use relace-search you need to build an appropriate agent harness, and parse the response for relevant information to hand off to the oracle. Read more about it in the [Relace documentation](https://docs.relace.ai/docs/fast-agentic-search/agent).",256000.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['max_tokens', 'seed', 'stop', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.000001,0.000003,128000.0,False
z-ai/glm-4.6v,z-ai/glm-4.6-20251208,zai-org/GLM-4.6V,Z.ai: GLM 4.6V,1765207462,"GLM-4.6V is a large multimodal model designed for high-fidelity visual understanding and long-context reasoning across images, documents, and mixed media. It supports up to 128K tokens, processes complex page layouts and charts directly as visual inputs, and integrates native multimodal function calling to connect perception with downstream tool execution. The model also enables interleaved image-text generation and UI reconstruction workflows, including screenshot-to-HTML synthesis and iterative visual editing.",131072.0,"{'modality': 'text+image+video->text', 'input_modalities': ['image', 'text', 'video'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'include_reasoning', 'max_tokens', 'min_p', 'presence_penalty', 'reasoning', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': 0.8, 'top_p': 0.6, 'frequency_penalty': None}",,,0.0000003,0.0000009,131072.0,False
nex-agi/deepseek-v3.1-nex-n1,nex-agi/deepseek-v3.1-nex-n1,nex-agi/DeepSeek-V3.1-Nex-N1,Nex AGI: DeepSeek V3.1 Nex N1,1765204393,"DeepSeek V3.1 Nex-N1 is the flagship release of the Nex-N1 series — a post-trained model designed to highlight agent autonomy, tool use, and real-world productivity. 

Nex-N1 demonstrates competitive performance across all evaluation scenarios, showing particularly strong results in practical coding and HTML generation tasks.",131072.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'DeepSeek', 'instruct_type': None}",,"['frequency_penalty', 'response_format', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.000000135,0.0000005,163840.0,False
essentialai/rnj-1-instruct,essentialai/rnj-1-instruct,EssentialAI/rnj-1-instruct,EssentialAI: Rnj 1 Instruct,1765094847,"Rnj-1 is an 8B-parameter, dense, open-weight model family developed by Essential AI and trained from scratch with a focus on programming, math, and scientific reasoning. The model demonstrates strong performance across multiple programming languages, tool-use workflows, and agentic execution environments (e.g., mini-SWE-agent). ",32768.0,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Other', 'instruct_type': None}",,"['frequency_penalty', 'logit_bias', 'max_tokens', 'min_p', 'presence_penalty', 'repetition_penalty', 'response_format', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.00000015,0.00000015,,False
openrouter/bodybuilder,openrouter/bodybuilder,,Body Builder (beta),1764903653,"Transform your natural language requests into structured OpenRouter API request objects. Describe what you want to accomplish with AI models, and Body Builder will construct the appropriate API calls. Example: ""count to 10 using gemini and opus.""

This is useful for creating multi-model requests, custom model routers, or programmatic generation of API calls from human descriptions.

**BETA NOTICE**: Body Builder is in beta, and currently free. Pricing and functionality may change in the future.",,"{'modality': 'text->text', 'input_modalities': ['text'], 'output_modalities': ['text'], 'tokenizer': 'Router', 'instruct_type': None}",,[],"{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,-1,-1,,False
openai/gpt-5.1-codex-max,openai/gpt-5.1-codex-max-20251204,,OpenAI: GPT-5.1-Codex-Max,1764878934,"GPT-5.1-Codex-Max is OpenAI’s latest agentic coding model, designed for long-running, high-context software development tasks. It is based on an updated version of the 5.1 reasoning stack and trained on agentic workflows spanning software engineering, mathematics, and research. 
GPT-5.1-Codex-Max delivers faster performance, improved reasoning, and higher token efficiency across the development lifecycle. ",400000.0,"{'modality': 'text+image->text', 'input_modalities': ['text', 'image'], 'output_modalities': ['text'], 'tokenizer': 'GPT', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'reasoning', 'response_format', 'seed', 'structured_outputs', 'tool_choice', 'tools']","{'temperature': None, 'top_p': None, 'top_k': None, 'frequency_penalty': None, 'presence_penalty': None, 'repetition_penalty': None}",,,0.00000125,0.00001,128000.0,True
amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,,Amazon: Nova 2 Lite,1764696672,"Nova 2 Lite is a fast, cost-effective reasoning model for everyday workloads that can process text, images, and videos to generate text. 

Nova 2 Lite demonstrates standout capabilities in processing documents, extracting information from videos, generating code, providing accurate grounded answers, and automating multi-step agentic workflows.",1000000.0,"{'modality': 'text+image+file+video->text', 'input_modalities': ['text', 'image', 'video', 'file'], 'output_modalities': ['text'], 'tokenizer': 'Nova', 'instruct_type': None}",,"['include_reasoning', 'max_tokens', 'reasoning', 'stop', 'temperature', 'tool_choice', 'tools', 'top_k', 'top_p']","{'temperature': None, 'top_p': None, 'frequency_penalty': None}",,,0.0000003,0.0000025,65535.0,True
mistralai/ministral-14b-2512,mistralai/ministral-14b-2512,mistralai/Ministral-3-14B-Instruct-2512,Mistral: Ministral 3 14B 2512,1764681735,"The largest model in the Ministral 3 family, Ministral 3 14B offers frontier capabilities and performance comparable to its larger Mistral Small 3.2 24B counterpart. A powerful and efficient language model with vision capabilities.",262144.0,"{'modality': 'text+image->text', 'input_modalities': ['text', 'image'], 'output_modalities': ['text'], 'tokenizer': 'Mistral', 'instruct_type': None}",,"['frequency_penalty', 'logprobs', 'max_tokens', 'presence_penalty', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_logprobs', 'top_p']","{'temperature': 0.3, 'top_p': None, 'frequency_penalty': None}",,,0.0000002,0.0000002,,False
mistralai/ministral-8b-2512,mistralai/ministral-8b-2512,mistralai/Ministral-3-8B-Instruct-2512,Mistral: Ministral 3 8B 2512,1764681654,"A balanced model in the Ministral 3 family, Ministral 3 8B is a powerful, efficient tiny language model with vision capabilities.",262144.0,"{'modality': 'text+image->text', 'input_modalities': ['text', 'image'], 'output_modalities': ['text'], 'tokenizer': 'Mistral', 'instruct_type': None}",,"['frequency_penalty', 'logprobs', 'max_tokens', 'presence_penalty', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_logprobs', 'top_p']","{'temperature': 0.3, 'top_p': None, 'frequency_penalty': None}",,,0.00000015,0.00000015,,False
mistralai/ministral-3b-2512,mistralai/ministral-3b-2512,mistralai/Ministral-3-3B-Instruct-2512,Mistral: Ministral 3 3B 2512,1764681560,"The smallest model in the Ministral 3 family, Ministral 3 3B is a powerful, efficient tiny language model with vision capabilities.",131072.0,"{'modality': 'text+image->text', 'input_modalities': ['text', 'image'], 'output_modalities': ['text'], 'tokenizer': 'Mistral', 'instruct_type': None}",,"['frequency_penalty', 'logprobs', 'max_tokens', 'presence_penalty', 'repetition_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_logprobs', 'top_p']","{'temperature': 0.3, 'top_p': None, 'frequency_penalty': None}",,,0.0000001,0.0000001,,False
mistralai/mistral-large-2512,mistralai/mistral-large-2512,,Mistral: Mistral Large 3 2512,1764624472,"Mistral Large 3 2512 is Mistral’s most capable model to date, featuring a sparse mixture-of-experts architecture with 41B active parameters (675B total), and released under the Apache 2.0 license.",262144.0,"{'modality': 'text+image->text', 'input_modalities': ['text', 'image'], 'output_modalities': ['text'], 'tokenizer': 'Mistral', 'instruct_type': None}",,"['frequency_penalty', 'max_tokens', 'presence_penalty', 'response_format', 'seed', 'stop', 'structured_outputs', 'temperature', 'tool_choice', 'tools', 'top_p']","{'temperature': 0.0645, 'top_p': None, 'frequency_penalty': None}",,,0.0000005,0.0000015,,False
